Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2024-05-15 08:52:20,2024-05-17 04:55:01,Metrorex,-3.00,0.00,RON,COMPLETED,798.03
CARD_PAYMENT,Current,2024-05-16 12:40:00,2024-05-17 06:41:27,Sotos Club,-35.00,0.00,RON,COMPLETED,763.03
CARD_PAYMENT,Current,2024-05-16 18:09:05,2024-05-18 04:55:52,Metrorex,-3.00,0.00,RON,COMPLETED,760.03
CARD_PAYMENT,Current,2024-05-16 09:01:53,2024-05-18 04:56:03,Metrorex,-3.00,0.00,RON,COMPLETED,757.03
CARD_PAYMENT,Current,2024-05-17 20:57:19,2024-05-18 07:35:42,Lidl,-228.47,0.00,RON,COMPLETED,528.56
TRANSFER,Current,2024-05-20 13:56:35,2024-05-20 13:56:35,To RON,5.00,0.00,RON,COMPLETED,533.56
CARD_PAYMENT,Current,2024-05-18 16:13:45,2024-05-20 15:01:50,Sports Direct,-149.61,1.50,RON,COMPLETED,382.45
CARD_PAYMENT,Current,2024-05-19 08:03:22,2024-05-20 16:24:56,STB Bucuresti,-3.00,0.00,RON,COMPLETED,379.45
CARD_PAYMENT,Current,2024-05-19 19:30:40,2024-05-20 16:29:31,STB Bucuresti,-3.00,0.00,RON,COMPLETED,376.45
CARD_PAYMENT,Current,2024-05-19 19:15:43,2024-05-20 17:31:29,Therme Nord București,-181.00,0.00,RON,COMPLETED,195.45
FEE,Current,2024-05-21 04:33:25,2024-05-21 04:33:25,Metal Repricing 1 plan fee,-64.99,0.00,RON,COMPLETED,130.46
CARD_PAYMENT,Current,2024-05-18 19:25:40,2024-05-21 04:43:07,Taco Bell,-43.40,0.00,RON,COMPLETED,87.06
CARD_PAYMENT,Current,2024-05-18 20:32:22,2024-05-21 04:51:04,Metrorex,-3.00,0.00,RON,COMPLETED,84.06
CARD_PAYMENT,Current,2024-05-18 17:51:24,2024-05-21 04:51:08,Metrorex,-3.00,0.00,RON,COMPLETED,81.06
CARD_PAYMENT,Current,2024-05-19 07:33:05,2024-05-21 04:51:15,Metrorex,-3.00,0.00,RON,COMPLETED,78.06
CARD_PAYMENT,Current,2024-05-19 20:48:23,2024-05-21 04:51:22,Metrorex,-3.00,0.00,RON,COMPLETED,75.06
CARD_PAYMENT,Current,2024-05-26 16:10:18,2024-05-27 17:42:17,Four Sec,-24.00,0.00,RON,COMPLETED,51.06
CARD_PAYMENT,Current,2024-05-26 15:09:42,2024-05-28 04:55:29,Metrorex,-3.00,0.00,RON,COMPLETED,48.06
CARD_PAYMENT,Current,2024-05-26 18:10:57,2024-05-28 04:55:31,Metrorex,-3.00,0.00,RON,COMPLETED,45.06
TRANSFER,Current,2024-05-28 20:51:06,2024-05-28 20:51:06,From Emergency Fund,16.00,0.00,RON,COMPLETED,61.06
TRANSFER,Current,2024-05-28 23:09:46,2024-05-28 23:09:46,From Emergency Fund,50.00,0.00,RON,COMPLETED,111.06
CARD_PAYMENT,Current,2024-05-28 21:03:19,2024-05-29 16:29:42,Uber,-60.02,0.00,RON,COMPLETED,51.04
CARD_PAYMENT,Current,2024-05-28 23:10:05,2024-05-30 15:38:57,Uber,-45.54,0.00,RON,COMPLETED,5.50
TOPUP,Current,2024-05-31 09:02:08,2024-05-31 09:02:09,Payment from Cristian Tiftilov,3054.00,0.00,RON,COMPLETED,3059.50
TRANSFER,Current,2024-05-31 09:02:23,2024-05-31 09:02:23,Savings Vault topup,-2600.00,0.00,RON,COMPLETED,459.50
CARD_PAYMENT,Current,2024-05-31 19:37:18,2024-06-01 07:40:56,Socului kebap,-76.00,0.00,RON,COMPLETED,383.50
TRANSFER,Current,2024-06-01 10:31:02,2024-06-01 10:31:02,Savings Vault topup,-383.00,0.00,RON,COMPLETED,0.50
TRANSFER,Current,2024-06-01 16:17:05,2024-06-01 16:17:05,From Emergency Fund,80.00,0.00,RON,COMPLETED,80.50
TRANSFER,Current,2024-06-01 16:17:53,2024-06-01 16:17:53,To DAVID-MIHAI ALBULET,-65.00,0.00,RON,COMPLETED,15.50
CARD_PAYMENT,Current,2024-06-01 21:16:57,,Metrorex,-3.00,0.00,RON,PENDING,
CARD_PAYMENT,Current,2024-06-02 15:49:04,,Metrorex,-3.00,0.00,RON,PENDING,
TRANSFER,Current,2024-06-02 17:16:27,2024-06-02 17:16:27,From Emergency Fund,100.00,0.00,RON,COMPLETED,115.50
CARD_PAYMENT,Current,2024-06-02 19:46:43,,Metrorex,-3.00,0.00,RON,PENDING,
CARD_PAYMENT,Current,2024-06-02 17:16:49,2024-06-03 07:41:45,Vindem Ieftin,-95.00,0.00,RON,COMPLETED,20.50
TRANSFER,Deposit,2024-05-01 00:28:44,2024-05-01 00:28:44,From Emergency Fund,-50.00,0.00,RON,COMPLETED,4950.79
TRANSFER,Deposit,2024-05-01 00:49:50,2024-05-01 00:49:50,From Emergency Fund,-50.00,0.00,RON,COMPLETED,4900.79
INTEREST,Deposit,2024-05-01 04:00:00,2024-05-01 07:51:25,Interest earned - Emergency Fund,0.50,0.08,RON,COMPLETED,4901.21
TRANSFER,Deposit,2024-05-01 10:33:53,2024-05-01 10:33:53,From Emergency Fund,-10.00,0.00,RON,COMPLETED,4891.21
TRANSFER,Deposit,2024-05-01 12:02:31,2024-05-01 12:02:31,From Emergency Fund,-20.00,0.00,RON,COMPLETED,4871.21
INTEREST,Deposit,2024-05-02 04:00:00,2024-05-02 07:51:26,Interest earned - Emergency Fund,0.50,0.08,RON,COMPLETED,4871.63
TRANSFER,Deposit,2024-05-02 11:28:33,2024-05-02 11:28:33,Savings Vault topup,130.00,0.00,RON,COMPLETED,5001.63
INTEREST,Deposit,2024-05-03 04:00:00,2024-05-03 09:53:09,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5002.06
INTEREST,Deposit,2024-05-04 04:00:00,2024-05-04 05:56:35,Interest earned - Emergency Fund,0.52,0.08,RON,COMPLETED,5002.50
INTEREST,Deposit,2024-05-05 04:00:00,2024-05-05 08:28:50,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5002.93
INTEREST,Deposit,2024-05-06 04:00:00,2024-05-06 07:48:28,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5003.36
INTEREST,Deposit,2024-05-07 04:00:00,2024-05-07 09:06:14,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5003.79
INTEREST,Deposit,2024-05-08 04:00:00,2024-05-08 09:44:45,Interest earned - Emergency Fund,0.52,0.08,RON,COMPLETED,5004.23
INTEREST,Deposit,2024-05-09 04:00:00,2024-05-09 07:06:37,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5004.66
INTEREST,Deposit,2024-05-10 04:00:00,2024-05-10 09:34:18,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5005.09
INTEREST,Deposit,2024-05-11 04:00:00,2024-05-11 09:55:35,Interest earned - Emergency Fund,0.52,0.08,RON,COMPLETED,5005.53
INTEREST,Deposit,2024-05-12 04:00:00,2024-05-12 06:53:22,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5005.96
INTEREST,Deposit,2024-05-13 04:00:00,2024-05-13 05:57:28,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5006.39
TRANSFER,Deposit,2024-05-13 13:24:08,2024-05-13 13:24:08,Savings Vault topup,2000.00,0.00,RON,COMPLETED,7006.39
TRANSFER,Deposit,2024-05-13 13:25:24,2024-05-13 13:25:24,Savings Vault topup,500.00,0.00,RON,COMPLETED,7506.39
INTEREST,Deposit,2024-05-14 04:00:00,2024-05-14 08:58:10,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7507.04
INTEREST,Deposit,2024-05-15 04:00:00,2024-05-15 07:10:33,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7507.69
INTEREST,Deposit,2024-05-16 04:00:00,2024-05-16 08:02:38,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7508.34
INTEREST,Deposit,2024-05-17 04:00:00,2024-05-17 07:19:26,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7508.99
INTEREST,Deposit,2024-05-18 04:00:00,2024-05-18 07:37:45,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7509.64
INTEREST,Deposit,2024-05-19 04:00:00,2024-05-19 09:33:57,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7510.29
INTEREST,Deposit,2024-05-20 04:00:00,2024-05-20 09:38:50,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7510.94
INTEREST,Deposit,2024-05-21 04:00:00,2024-05-21 07:37:23,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7511.59
INTEREST,Deposit,2024-05-22 04:00:00,2024-05-22 09:02:11,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7512.24
INTEREST,Deposit,2024-05-23 04:00:00,2024-05-23 09:23:30,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7512.89
INTEREST,Deposit,2024-05-24 04:00:00,2024-05-24 07:24:29,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7513.54
INTEREST,Deposit,2024-05-25 04:00:00,2024-05-25 06:34:37,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7514.19
INTEREST,Deposit,2024-05-26 04:00:00,2024-05-26 05:52:17,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7514.84
INTEREST,Deposit,2024-05-27 04:00:00,2024-05-27 07:11:51,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7515.49
INTEREST,Deposit,2024-05-28 04:00:00,2024-05-28 06:40:36,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7516.14
TRANSFER,Deposit,2024-05-28 20:51:06,2024-05-28 20:51:06,From Emergency Fund,-16.00,0.00,RON,COMPLETED,7500.14
TRANSFER,Deposit,2024-05-28 23:09:46,2024-05-28 23:09:46,From Emergency Fund,-50.00,0.00,RON,COMPLETED,7450.14
INTEREST,Deposit,2024-05-29 04:00:00,2024-05-29 07:08:53,Interest earned - Emergency Fund,0.76,0.11,RON,COMPLETED,7450.79
INTEREST,Deposit,2024-05-30 04:00:00,2024-05-30 05:47:56,Interest earned - Emergency Fund,0.76,0.11,RON,COMPLETED,7451.44
INTEREST,Deposit,2024-05-31 04:00:00,2024-05-31 05:55:12,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7452.09
TRANSFER,Deposit,2024-05-31 09:02:23,2024-05-31 09:02:23,Savings Vault topup,2600.00,0.00,RON,COMPLETED,10052.09
INTEREST,Deposit,2024-06-01 04:00:00,2024-06-01 06:16:56,Interest earned - Emergency Fund,1.03,0.15,RON,COMPLETED,10052.97
TRANSFER,Deposit,2024-06-01 10:31:02,2024-06-01 10:31:02,Savings Vault topup,383.00,0.00,RON,COMPLETED,10435.97
TRANSFER,Deposit,2024-06-01 16:17:05,2024-06-01 16:17:05,From Emergency Fund,-80.00,0.00,RON,COMPLETED,10355.97
INTEREST,Deposit,2024-06-02 04:00:00,2024-06-02 07:30:45,Interest earned - Emergency Fund,1.06,0.16,RON,COMPLETED,10356.87
TRANSFER,Deposit,2024-06-02 17:16:27,2024-06-02 17:16:27,From Emergency Fund,-100.00,0.00,RON,COMPLETED,10256.87
INTEREST,Deposit,2024-06-03 04:00:00,2024-06-03 07:42:17,Interest earned - Emergency Fund,1.05,0.16,RON,COMPLETED,10257.76
